cvegeo_inegi,cve_ent,estado,municipio,lat_centroid,lon_centroid,n_fires
22015,22,quera©taro,san joaqua­n,20.957540874603172,-99.5536488126984,7
22016,22,quera©taro,san juan del ra­o,20.367373518518516,-100.09362592592589,15
22017,22,quera©taro,tequisquiapan,20.5079402777778,-99.9754916666667,2
22018,22,quera©taro,tolima¡n,20.92775,-99.92372222222222,1
23002,23,quintana roo,felipe carrillo puerto,19.58157852249322,-87.94778475718158,41
23003,23,quintana roo,isla mujeres,21.28896502745098,-87.0735651986928,17
23004,23,quintana roo,otha³n p. blanco,18.62658057897153,-88.2465771345271,121
23005,23,quintana roo,benito jua¡rez,21.06727850478633,-87.01675316136752,65
23006,23,quintana roo,josa© mara­a morelos,19.46865881980677,-88.85503405507247,23
23007,23,quintana roo,la¡zaro ca¡rdenas,21.14457696436782,-87.30483242279693,58
23008,23,quintana roo,solidaridad,20.58244190748792,-87.31784728140097,46
23009,23,quintana roo,tulum,20.214991472351418,-87.53727332015505,43
23010,23,quintana roo,bacalar,18.970358503076927,-88.65526750094018,130
23011,23,quintana roo,puerto morelos,20.971768305982902,-87.1151678766382,39
24001,24,san luis potosa­,ahualulco del sonido 13,22.38644551623931,-101.26096796581206,13
24002,24,san luis potosa­,alaquines,22.09320092592591,-99.5314388888889,3
24003,24,san luis potosa­,aquisma³n,21.827719996666666,-99.15580610777779,10
24004,24,san luis potosa­,armadillo de los infante,22.225218888888897,-100.69855166666669,5
24006,24,san luis potosa­,catorce,23.572941111111128,-100.92182166666673,5
24007,24,san luis potosa­,cedral,23.8807388888889,-100.70135972222249,2
24008,24,san luis potosa­,cerritos,22.370794444444456,-100.4175481481481,3
24010,24,san luis potosa­,ciudad del maa­z,22.428062251001823,-99.55096083825137,61
24011,24,san luis potosa­,ciudad ferna¡ndez,22.016704861111116,-100.20867256944447,8
24013,24,san luis potosa­,ciudad valles,22.147334093918126,-99.09994344982455,95
24015,24,san luis potosa­,charcas,23.20666472222222,-101.0934116666667,10
24016,24,san luis potosa­,ebano,22.1460277777778,-98.51675,1
24017,24,san luis potosa­,guadalca¡zar,22.978335090058476,-100.31551111695906,19
24019,24,san luis potosa­,lagunillas,21.657589351851854,-99.58140138888889,6
24020,24,san luis potosa­,matehuala,23.577334307777775,-100.56389737777769,20
24021,24,san luis potosa­,mexquitic de carmona,22.283185112847214,-101.0882641961806,64
24022,24,san luis potosa­,moctezuma,22.680318055555574,-101.09775277777771,2
24023,24,san luis potosa­,raya³n,21.836605784259277,-99.52836736388889,12
24024,24,san luis potosa­,rioverde,21.867147392517,-100.09766285442176,49
24027,24,san luis potosa­,san ciro de acosta,21.56706110666666,-99.86208889333334,5
24028,24,san luis potosa­,san luis potosa­,22.09550508157182,-100.92021746883471,41
24030,24,san luis potosa­,san nicola¡s tolentino,22.181792592592586,-100.44922592592583,6
24031,24,san luis potosa­,santa catarina,21.608473409523814,-99.44229285555556,7
24032,24,san luis potosa­,santa mara­a del ra­o,21.80868610944445,-100.59070792222221,20
24033,24,san luis potosa­,santo domingo,23.6794444444445,-101.477027777778,1
24034,24,san luis potosa­,san vicente tancuayalab,21.8116666666667,-98.4872777777778,1
24035,24,san luis potosa­,soledad de graciano sa¡nchez,22.248669907407415,-100.82092592592579,6
24036,24,san luis potosa­,tamasopo,21.937860300462958,-99.34380144398149,48
24040,24,san luis potosa­,tamua­n,22.037659722222227,-98.88821250000002,8
24043,24,san luis potosa­,tierra nueva,21.64414666666668,-100.41954388888891,5
24044,24,san luis potosa­,vanegas,24.030774059259254,-100.92263248148159,3
24045,24,san luis potosa­,venado,22.894073148148163,-100.93500092592592,3
24046,24,san luis potosa­,villa de arriaga,21.866338888888897,-101.249002777778,2
24047,24,san luis potosa­,villa de guadalupe,23.32546806666665,-100.708403361111,4
24048,24,san luis potosa­,villa de la paz,23.6853888888889,-100.731444444444,1
24049,24,san luis potosa­,villa de ramos,22.849722222222223,-101.97611111111111,1
24050,24,san luis potosa­,villa de reyes,21.87899532163744,-100.9314771929824,19
24051,24,san luis potosa­,villa hidalgo,22.72120208333333,-100.68748020833334,8
24052,24,san luis potosa­,villa jua¡rez,22.2383124972222,-100.24236188888901,4
24054,24,san luis potosa­,xilitla,21.36412361111112,-99.04164444444444,4
24055,24,san luis potosa­,zaragoza,22.071092063492063,-100.7171926587301,14
24056,24,san luis potosa­,villa de arista,22.587055555555565,-100.80887037037034,3
24058,24,san luis potosa­,el naranjo,22.533153843745627,-99.37873556974144,159
25003,25,sinaloa,badiraguato,25.81886830040404,-107.5378031186869,110
25004,25,sinaloa,concordia,23.488617807650275,-105.86880609107469,61
25005,25,sinaloa,cosala¡,24.460363093750004,-106.71311917361112,16
25006,25,sinaloa,culiaca¡n,24.950147724242427,-107.11967934343437,11
25007,25,sinaloa,choix,26.723901640598296,-108.20677356125358,78
25008,25,sinaloa,elota,24.1672056,-106.788681,1
25009,25,sinaloa,escuinapa,22.78454722500001,-105.61407219444433,4
25010,25,sinaloa,el fuerte,26.410839814814796,-108.43502237037033,3
25012,25,sinaloa,mazatla¡n,23.61859138333333,-106.30740280000002,10
25013,25,sinaloa,mocorito,25.6614639,-107.636431722222,2
25014,25,sinaloa,rosario,23.04786389605735,-105.59737418279569,31
25016,25,sinaloa,san ignacio,24.040012652777776,-106.30292826234562,36
25017,25,sinaloa,sinaloa,25.943844659444444,-107.75417179166664,40
25018,25,sinaloa,navolato,24.718708333333332,-108.00095,1
25056,25,sinaloa,rosario,23.0571694444444,-105.505088888889,1
26001,26,sonora,aconchi,29.81438333333335,-110.3790875,2
26002,26,sonora,agua prieta,31.26385408856209,-109.02471332352941,34
26003,26,sonora,alamos,27.128842383270914,-108.89773193632956,89
26005,26,sonora,arivechi,30.0466777777778,-108.929197222222,1
26006,26,sonora,arizpe,30.309769444444438,-110.09588156565647,11
26008,26,sonora,bacada©huachi,29.79758944444444,-109.0802666666666,5
26009,26,sonora,bacanora,28.908121527777773,-109.4106791666665,4
26010,26,sonora,bacerac,30.32410462962962,-108.81826296296298,6
26011,26,sonora,bacoachi,30.631568983333334,-109.85230929629633,6
26014,26,sonora,bavia¡cora,29.34335,-110.001922222222,1
26015,26,sonora,bavispe,30.736060416666675,-108.984011111111,4
26016,26,sonora,benjama­n hill,30.19316898148148,-111.09838425925916,6
26018,26,sonora,cajeme,28.072208333333325,-109.83806874999999,4
26019,26,sonora,cananea,30.75614786410256,-110.13084019658123,13
26020,26,sonora,carba³,29.70309777777778,-111.0673594555557,10
26022,26,sonora,cucurpe,30.391361111111124,-110.3267506944445,4
26023,26,sonora,cumpas,30.2339444444444,-109.661213888889,1
26027,26,sonora,fronteras,30.689357175925924,-109.7026384259259,12
26028,26,sonora,granados,29.8604,-109.3892,1
26029,26,sonora,guaymas,28.185440744444435,-110.77042522222234,3
26030,26,sonora,hermosillo,29.158518449999995,-110.82730457142864,14
26031,26,sonora,huachinera,29.868079444444458,-109.0059088888888,5
26032,26,sonora,hua¡sabas,29.984195370370376,-109.54039166666662,3
